Day;Date;HomeTeam;AwayTeam;FTR;MaxH;MaxD;MaxA;AvgH;AvgD;AvgA
J28;14/03/2021;Paris SG;Nantes;A;1.22;7.75;19;1.18;7.13;15.39
J29;19/03/2021;St Etienne;Monaco;A;4.8;3.8;1.88;4.52;3.63;1.81
J29;20/03/2021;Metz;Rennes;A;3.55;3.2;2.44;3.38;03.08;2.32
J29;20/03/2021;Nice;Marseille;H;3.1;3.52;2.6;2.95;3.26;2.46
J29;21/03/2021;Strasbourg;Lens;A;2.83;3.5;2.75;2.66;3.34;2.66
J29;21/03/2021;Brest;Angers;D;2.67;3.26;03.07;2.55;3.11;2.94
J29;21/03/2021;Dijon;Reims;A;3.75;3.47;2.27;3.5;3.3;2.16
J29;21/03/2021;Montpellier;Bordeaux;H;2.26;3.36;3.84;2.15;3.26;3.55
J29;21/03/2021;Nantes;Lorient;D;2.4;3.34;3.42;2.33;3.17;3.26
J29;21/03/2021;Lille;Nimes;A;1.36;5.25;12.03;1.32;4.97;10.5
J29;21/03/2021;Lyon;Paris SG;A;03.01;4.13;2.33;2.89;3.82;2.25
